datetime_utc,exchange,instrument,direction,setup_grade,h4_bias_notes,h1_trend_notes,pullback_confluences,confirmation_type,entry_price,stop_price,liquidation_price,leverage,risk_pct,position_size,fees_paid,slippage_estimated,funding_paid,exit_distribution,exit_reason,final_r,pnl_usd,rule_compliance,mae_r,mfe_r,bars_held,entry_method,signal_variant
2026-03-03T06:00:00+00:00,hyperliquid,ETH,SHORT,B,,,,model1_close,1992.401775,0.0,0.0,1.1236211660533149,0.02625,5.6381211603859445,10.042282101880481,0.0,-0.42125259778567564,[],protective_stop,0.5314622157041407,141.001737108644,yes,-0.2252244165001979,0.964839704992895,6,model1_close,core
2026-03-03T06:00:00+00:00,hyperliquid,BTC,SHORT,B,,,,model1_close,67902.02025,0.0,0.0,2.0396293632824416,0.02625,0.3003032087166244,18.185611734097858,0.0,-0.8177949751637548,[],protective_stop,1.3174589035972548,352.55078185601593,yes,-0.4230516462719525,1.7181311124488763,9,model1_close,core
2026-03-28T06:30:00+00:00,hyperliquid,ETH,LONG,B,,,,model1_close,2003.10065,0.0,0.0,1.8425930868020675,0.026250000000000002,9.6556041585212,17.369232273746785,0.0,0.47794101679341344,[],protective_stop,-0.36211630634150604,-101.84716378405398,yes,-0.28496445886504973,0.16476350353935607,7,model1_close,core
2026-04-11T17:00:00+00:00,hyperliquid,ETH,LONG,B,,,,model1_close,2258.464475,0.0,0.0,1.6154607308183804,0.01388625,7.4349581148542185,15.28979521822669,0.0,0.5802820457452393,[],protective_stop,2.547329803528959,378.27507888399975,yes,-0.293619646741705,3.536544686082501,5,model1_close,relaxed_body
2026-04-14T15:30:00+00:00,hyperliquid,SOL,SHORT,B,,,,model1_close,85.37065199999999,0.0,0.0,1.3419076829651069,0.01388625,169.24676187295262,12.918932662127041,0.0,0.20301299428410305,[],protective_stop,1.146139828706462,175.5516251377968,yes,-0.9760789541562911,1.6714452086407512,7,model1_close,relaxed_body
2026-04-15T14:30:00+00:00,hyperliquid,SOL,LONG,B,,,,model1_close,84.25405825000001,0.0,0.0,1.1968260817188465,0.01388625,155.51978733683032,11.810424771865954,0.0,0.07140836310414543,[],protective_stop,0.17492475291933543,27.16010617953902,yes,-0.7713101339751132,0.9454763164438122,6,model1_close,relaxed_body
2026-04-16T16:30:00+00:00,hyperliquid,BTC,SHORT,B,,,,model2_retest,74508.36825,0.0,0.0,1.8825051018276173,0.01388625,0.2771632962834332,18.564675552830977,0.0,0.1631923434283399,[],protective_stop,0.18032637426760129,28.407459996915676,yes,-0.14362223191864118,1.2181470245903476,2,model2_retest,relaxed_body
2026-04-18T08:30:00+00:00,hyperliquid,BTC,SHORT,B,,,,model1_close,76628.838,0.0,0.0,3.4075391384843208,0.02625,0.48908212376014265,33.619326314593415,0.0,0.7150388475675211,[],protective_stop,0.7110130464325486,211.64126303188127,yes,-0.2056513234406807,1.4801499409218584,7,model1_close,core
2026-05-01T08:00:00+00:00,hyperliquid,ETH,LONG,B,,,,model1_close,2279.269675,0.0,0.0,2.4783984828643018,0.02625,12.194856945141165,25.204185039029575,0.0,1.5274346678477198,[],protective_stop,1.3058405479518935,391.83321497871157,yes,-0.13694734853978857,1.7731850474242803,12,model1_close,core
2026-05-13T13:00:00+00:00,hyperliquid,SOL,SHORT,B,,,,model1_close,93.10871700000001,0.0,0.0,0.8061337431990908,0.01388625,100.44925115641115,8.310250237143395,0.0,0.2335493805348371,[],protective_stop,1.40637314302497,229.6352487431929,yes,-0.18534605311917127,1.7524999830840642,6,model1_close,relaxed_body
2026-05-18T12:00:00+00:00,hyperliquid,ETH,LONG,B,,,,model1_close,2133.0331250000004,0.0,0.0,2.262520913889218,0.02625,12.555754353361534,24.148473679150058,0.0,0.05045966464053109,[],protective_stop,0.23758617148561537,75.3960190456722,yes,-0.02504984349695863,0.912650122351242,2,model1_close,core
2026-05-23T13:30:00+00:00,hyperliquid,SOL,LONG,B,,,,model1_close,83.17278800000001,0.0,0.0,1.7809701923852859,0.02625,255.08595409724808,19.274219060019828,0.0,-3.6929130283641154,[],protective_stop,1.2055775635292456,383.59664130722024,yes,-0.18983076410360947,1.5450281540856619,12,model1_close,core
