label,kind,selection_score,passes_is_preservation,dev_return_pct,dev_trades,dev_pf,dev_exp_r,dev_exit_eff,dev_dd,oos_return_pct,oos_trades,oos_pf,oos_exp_r,oos_exit_eff,oos_dd,delta_dev_return_pct,delta_dev_trades,delta_oos_return_pct,delta_oos_trades,notes
perturb_risk_trend_0.85,perturbation,74.25853583499,False,58.03353607028798,45.0,6.309703600795677,0.5264376460104578,0.5016298044946584,2.8500806560150997,31.234897391010396,39.0,2.497005987253717,0.3400756236156312,0.42895017916941286,4.949315092600575,-8.621430300519975,0.0,-2.5046015282462797,0.0,
ablate_strategy_active_cumulative_to_base__breakout__exits.tp1_frac,ablation,74.14389539640902,True,64.90109621830447,45.0,6.224678254414449,0.5144217901813712,0.502716448931581,3.8462073934485272,29.906601386847175,39.0,2.383206170360065,0.3152323534591829,0.40953843836695486,5.421045134841118,-1.753870152503481,0.0,-3.8328975324095005,0.0,Revert active cumulative strategy diff to pre-round baseline (builtin:crypto_trader.optimize.breakout_round3_pre_round1.build_pre_round1_config).
targeted_pair_mom_sol_disabled_breakout_eth_long,targeted,74.00690745836506,False,58.30853881612711,40.0,6.128137802919865,0.5279133960759488,0.5070085456575867,3.8462073934485357,38.48497775072948,32.0,4.030438852152212,0.46237924386844864,0.4291977724130701,4.150595220685223,-8.346427554680844,-5.0,4.745478831472802,-7.0,Targeted combination after OOS cohort review.
ablate_strategy_active_cumulative_to_base__trend__entry.mode,ablation,73.91880848933415,False,57.422024544389515,47.0,3.701012214961045,0.46162746005767546,0.5016298044946584,5.115357463802441,30.433129106928902,40.0,2.241228595890083,0.3092430616318461,0.42895017916941286,5.4210451348411,-9.23294182641844,2.0,-3.306369812327773,1.0,Revert active cumulative strategy diff to pre-round baseline (C:\Users\sehyu\Documents\Other\Projects\crypto_trader\config\trend_pre_round1.yaml).
perturb_strategy__momentum__exits.mfe_retrace_trigger_r__1.0,perturbation,73.90441943169888,True,66.65496637080795,45.0,6.321492107306187,0.5264376460104578,0.5016298044946584,3.846207393448526,29.923007814677298,39.0,2.417964485339335,0.29761036409342,0.4123881582482354,5.421045134841115,0.0,0.0,-3.8164911045793772,0.0,Perturb accepted cumulative strategy field.
perturb_strategy_active_cumulative__breakout__balance.dedup_atr_frac__0.315,perturbation,73.84276933853936,False,58.94999913609477,44.0,5.784587785399348,0.4765430291891661,0.4922893922810736,3.846207393448526,29.87550545465329,40.0,2.195494603541295,0.3086122695040422,0.42895017916941286,6.043459329405536,-7.7049672347131875,-1.0,-3.8639934646033858,1.0,Perturb active cumulative strategy diff versus pre-round baseline. aliases=perturb_strategy__breakout__balance.dedup_atr_frac__0.315
ablate_strategy_active_cumulative_to_base__breakout__balance.dedup_atr_frac,ablation,73.83641238870742,False,58.918214386935105,44.0,5.782284283584628,0.4763960511624997,0.49221141380261396,3.846207393448526,29.87550545465329,40.0,2.195494603541295,0.3086122695040422,0.42895017916941286,6.043459329405536,-7.73675198387285,-1.0,-3.8639934646033858,1.0,"Revert active cumulative strategy diff to pre-round baseline (builtin:crypto_trader.optimize.breakout_round3_pre_round1.build_pre_round1_config). aliases=ablate_strategy_to_round1__breakout__balance.dedup_atr_frac,ablate_strategy_to_round2__breakout__balance.dedup_atr_frac"
targeted_risk_momentum_down_breakout_up,targeted,73.77158722044707,False,57.318918184146696,45.0,6.722105630466396,0.5264376460104578,0.5016298044946584,3.5147135998694736,29.487967442174124,39.0,2.7617259558054497,0.3400756236156312,0.42895017916941286,4.994220607242229,-9.336048186661259,0.0,-4.251531477082551,0.0,Targeted OOS repair probe.
ablate_strategy_active_cumulative_to_base__breakout__balance.require_volume_contraction,ablation,73.68351228424508,False,57.48614958390247,46.0,4.480273401773849,0.4746136564997911,0.4957267759767309,4.59255619875154,30.02932448224007,40.0,2.217096614027523,0.3093566762472832,0.42885292278739867,5.795457220344384,-9.168816786905488,1.0,-3.7101744370166045,1.0,"Revert active cumulative strategy diff to pre-round baseline (builtin:crypto_trader.optimize.breakout_round3_pre_round1.build_pre_round1_config). aliases=perturb_strategy_active_cumulative__breakout__balance.require_volume_contraction__False,ablate_strategy_to_round1__breakout__balance.require_volume_contraction,ablate_strategy_to_round2__breakout__balance.require_volume_contraction,perturb_strategy__breakout__balance.require_volume_contraction__False"
perturb_strategy_active_cumulative__breakout__balance.dedup_atr_frac__0.28,perturbation,73.60682389752441,False,58.88183977957285,44.0,5.779647819335505,0.47622779170866497,0.49212151759348755,3.846207393448526,29.55039042955429,40.0,2.1844442548123504,0.30652030507608813,0.42799717299940376,6.0434593294055485,-7.773126591235105,-1.0,-4.1891084897023845,1.0,Perturb active cumulative strategy diff versus pre-round baseline. aliases=perturb_strategy__breakout__balance.dedup_atr_frac__0.28
