strategy,net_return_pct,total_trades,profit_factor,max_drawdown_pct
momentum,35.07408910092465,46.0,2.717037912872105,5.043451250531249
trend,28.515868410260136,29.0,5.926115552728403,3.3487620058290286
breakout,22.932020124855335,12.0,23.516110682746156,1.9270458439938891
