timestamp,equity
2026-02-25T00:00:00+00:00,25000.00
2026-02-25T00:00:00+00:00,25000.00
2026-02-25T00:00:00+00:00,25000.00
2026-02-25T00:30:00+00:00,25000.00
2026-02-25T00:30:00+00:00,25000.00
2026-02-25T00:30:00+00:00,25000.00
2026-02-25T01:00:00+00:00,25000.00
2026-02-25T01:00:00+00:00,25000.00
2026-02-25T01:00:00+00:00,25000.00
2026-02-25T01:30:00+00:00,25000.00
2026-02-25T01:30:00+00:00,25000.00
2026-02-25T01:30:00+00:00,25000.00
2026-02-25T02:00:00+00:00,25000.00
2026-02-25T02:00:00+00:00,25000.00
2026-02-25T02:00:00+00:00,25000.00
2026-02-25T02:30:00+00:00,25000.00
2026-02-25T02:30:00+00:00,25000.00
2026-02-25T02:30:00+00:00,25000.00
2026-02-25T03:00:00+00:00,25000.00
2026-02-25T03:00:00+00:00,25000.00
2026-02-25T03:00:00+00:00,25000.00
2026-02-25T03:30:00+00:00,25000.00
2026-02-25T03:30:00+00:00,25000.00
2026-02-25T03:30:00+00:00,25000.00
2026-02-25T04:00:00+00:00,25000.00
2026-02-25T04:00:00+00:00,25000.00
2026-02-25T04:00:00+00:00,25000.00
2026-02-25T04:30:00+00:00,25000.00
2026-02-25T04:30:00+00:00,25000.00
2026-02-25T04:30:00+00:00,25000.00
2026-02-25T05:00:00+00:00,25000.00
2026-02-25T05:00:00+00:00,25000.00
2026-02-25T05:00:00+00:00,25000.00
2026-02-25T05:30:00+00:00,25000.00
2026-02-25T05:30:00+00:00,25000.00
2026-02-25T05:30:00+00:00,25000.00
2026-02-25T06:00:00+00:00,25000.00
2026-02-25T06:00:00+00:00,25000.00
2026-02-25T06:00:00+00:00,25000.00
2026-02-25T06:30:00+00:00,25000.00
2026-02-25T06:30:00+00:00,25000.00
2026-02-25T06:30:00+00:00,25000.00
2026-02-25T07:00:00+00:00,25000.00
2026-02-25T07:00:00+00:00,25000.00
2026-02-25T07:00:00+00:00,25000.00
2026-02-25T07:30:00+00:00,25000.00
2026-02-25T07:30:00+00:00,25000.00
2026-02-25T07:30:00+00:00,25000.00
2026-02-25T08:00:00+00:00,25000.00
2026-02-25T08:00:00+00:00,25000.00
2026-02-25T08:00:00+00:00,25000.00
2026-02-25T08:00:00+00:00,25000.00
2026-02-25T08:00:00+00:00,25000.00
2026-02-25T08:15:00+00:00,25000.00
2026-02-25T08:15:00+00:00,25000.00
2026-02-25T08:15:00+00:00,25000.00
2026-02-25T08:15:00+00:00,25000.00
2026-02-25T08:15:00+00:00,25000.00
2026-02-25T08:15:00+00:00,25000.00
2026-02-25T08:30:00+00:00,25000.00
